馬名,日付,場,馬場種別,距離,着順,人気,頭数,タイム,補正タイム,時計指数,上がり3F
クインズスピカ,2024-11-02,福島,芝,2000,13,8,14,126.5,123.20,41.9,40.5
ジャマン,2024-11-02,福島,芝,2000,14,12,14,126.7,123.40,41.0,41.1
ヴェルミセル,2024-11-02,福島,芝,2600,1,5,16,166.0,162.70,48.3,37.5
ウインマイルート,2024-11-02,福島,芝,2600,2,3,16,166.7,163.40,45.8,38.3
ラスハンメル,2024-11-02,福島,芝,2600,3,6,16,166.7,163.40,45.8,38.6
アイザックバローズ,2024-11-02,福島,芝,2600,4,2,16,166.8,163.50,45.5,38.1
トロピカルライト,2024-11-02,福島,芝,2600,5,4,16,167.4,164.10,43.4,38.5
ボーンイングランデ,2024-11-02,福島,芝,2600,6,7,16,167.4,164.10,43.4,38.6
タガノバルコス,2024-11-02,福島,芝,2600,7,13,16,167.5,164.20,43.0,39.3
ナムアミダブツ,2024-11-02,福島,芝,2600,8,12,16,167.5,164.20,43.0,38.2
レッドエンヴィー,2024-11-02,福島,芝,2600,9,15,16,167.9,164.60,41.6,38.8
ヤマニンステラータ,2024-11-02,福島,芝,2600,10,1,16,167.9,164.60,41.6,38.4
ストキャスティーク,2024-11-02,福島,芝,2600,11,14,16,168.1,164.80,40.9,38.6
シルバープリペット,2024-11-02,福島,芝,2600,12,16,16,168.2,164.90,40.6,39.7
マイネルメサイア,2024-11-02,福島,芝,2600,13,10,16,168.6,165.30,39.2,40.4
グランドゴールド,2024-11-02,福島,芝,2600,14,9,16,169.6,166.30,35.7,40.0
リアド,2024-11-02,福島,芝,2600,15,11,16,170.4,167.10,32.9,41.7
オリエンタルナイト,2024-11-02,福島,芝,2600,16,8,16,171.9,168.60,27.7,43.4
エランティス,2024-11-02,福島,ダ,1150,1,1,16,66.9,66.90,70.0,36.0
アイファーシアトル,2024-11-02,福島,ダ,1150,2,8,16,67.8,67.80,62.1,36.6
ハンベルジャイト,2024-11-02,福島,ダ,1150,3,6,16,67.9,67.90,61.3,36.1
ミラバーグマン,2024-11-02,福島,ダ,1150,4,4,16,68.1,68.10,59.5,36.3
レアグリフォン,2024-11-02,福島,ダ,1150,5,5,16,68.2,68.20,58.7,37.2
ロードオブザチェコ,2024-11-02,福島,ダ,1150,6,10,16,68.2,68.20,58.7,36.1
クリダーム,2024-11-02,福島,ダ,1150,7,7,16,68.3,68.30,57.8,36.7
メイショウイジゲン,2024-11-02,福島,ダ,1150,8,11,16,68.4,68.40,56.9,36.0
ダテボレアス,2024-11-02,福島,ダ,1150,9,9,16,68.5,68.50,56.1,36.9
ラインガルーダ,2024-11-02,福島,ダ,1150,10,13,16,68.7,68.70,54.3,37.4
スタードラマー,2024-11-02,福島,ダ,1150,11,16,16,68.8,68.80,53.5,36.7
オーロベルディ,2024-11-02,福島,ダ,1150,12,14,16,69.0,69.00,51.7,37.0
スマートアイ,2024-11-02,福島,ダ,1150,13,3,16,69.0,69.00,51.7,38.0
クロデメニル,2024-11-02,福島,ダ,1150,14,2,16,69.1,69.10,50.9,38.1
グリュースゴット,2024-11-02,福島,ダ,1150,15,12,16,69.2,69.20,50.0,37.1
メルシー,2024-11-02,福島,ダ,1150,16,15,16,69.5,69.50,47.4,37.9
ソノママソノママ,2024-11-02,福島,芝,1200,1,1,16,72.9,69.60,50.0,37.4
クレセントウイング,2024-11-02,福島,芝,1200,2,14,16,73.3,70.00,46.7,36.7
エリカソレイユ,2024-11-02,福島,芝,1200,3,13,16,73.4,70.10,45.9,38.7
エーリチェ,2024-11-02,福島,芝,1200,3,5,16,73.4,70.10,45.9,37.4
レディメローラ,2024-11-02,福島,芝,1200,5,4,16,73.4,70.10,45.9,38.6
アンタノバラード,2024-11-02,福島,芝,1200,6,3,16,73.5,70.20,45.1,37.7
クリノゴッホ,2024-11-02,福島,芝,1200,7,6,16,73.6,70.30,44.3,38.3
シャインヴィーナス,2024-11-02,福島,芝,1200,8,7,16,73.6,70.30,44.3,38.9
バーニングパワー,2024-11-02,福島,芝,1200,9,8,16,74.0,70.70,41.1,38.1
ルンナノオクリモノ,2024-11-02,福島,芝,1200,10,11,16,74.1,70.80,40.2,37.4
ケイパブル,2024-11-02,福島,芝,1200,11,9,16,74.2,70.90,39.4,39.2
ドゥーカスコーリ,2024-11-02,福島,芝,1200,12,10,16,74.4,71.10,37.8,39.5
ライクアフラワー,2024-11-02,福島,芝,1200,13,2,16,74.6,71.30,36.2,39.1
セイウンサニー,2024-11-02,福島,芝,1200,14,12,16,74.8,71.50,34.6,39.4
ポケッティーノ,2024-11-02,福島,芝,1200,15,15,16,75.0,71.70,32.9,38.8
サンライズテラス,2024-11-02,福島,芝,1200,16,16,16,75.2,71.90,31.3,39.9
クァンタムウェーブ,2024-11-03,京都,ダ,1800,1,1,11,111.6,113.95,44.9,37.3
ロードラビリンス,2024-11-03,京都,ダ,1800,2,7,11,111.6,113.95,44.9,37.7
マテンロウブレイブ,2024-11-03,京都,ダ,1800,3,2,11,112.0,114.35,42.8,37.3
トリポリタニア,2024-11-03,京都,ダ,1800,4,3,11,113.4,115.75,35.4,39.1
ベルベルコンパス,2024-11-03,京都,ダ,1800,5,4,11,113.5,115.85,34.8,39.0
ドンインザムード,2024-11-03,京都,ダ,1800,6,6,11,113.9,116.25,32.7,39.5
マテンロウサン,2024-11-03,京都,ダ,1800,7,5,11,114.0,116.35,32.2,40.0
ニヒトツーゼーア,2024-11-03,京都,ダ,1800,8,11,11,114.5,116.85,29.5,39.4
ルージュマローネ,2024-11-03,京都,ダ,1800,9,8,11,115.3,117.65,25.3,41.1
パワーストーン,2024-11-03,京都,ダ,1800,10,12,11,117.3,119.65,14.6,41.9
トルショー,2024-11-03,京都,ダ,1800,11,9,11,117.5,119.85,13.6,42.8
クファシル,2024-11-03,京都,芝,1200,1,2,10,68.3,68.75,48.3,33.7
タガノシャーンス,2024-11-03,京都,芝,1200,2,4,10,68.4,68.85,47.2,34.1
ナリタローゼ,2024-11-03,京都,芝,1200,3,9,10,69.0,69.45,40.4,33.9
ピンクマクフィー,2024-11-03,京都,芝,1200,4,1,10,69.0,69.45,40.4,34.2
アドヴァイス,2024-11-03,京都,芝,1200,5,7,10,69.6,70.05,33.6,35.2
ウォータールグラン,2024-11-03,京都,芝,1200,6,5,10,69.6,70.05,33.6,36.2
アドマイヤラヴィ,2024-11-03,京都,芝,1200,7,3,10,69.6,70.05,33.6,35.4
サトノグレイト,2024-11-03,京都,芝,1200,8,6,10,69.7,70.15,32.4,35.1
ショウナンマッハ,2024-11-03,京都,芝,1200,9,10,10,69.9,70.35,30.2,35.0
サウンドブライアン,2024-11-03,京都,芝,1200,10,8,10,69.9,70.35,30.2,35.2
サンライズジパング,2024-11-03,京都,ダ,1800,1,3,15,109.7,112.05,55.1,37.1
アウトレンジ,2024-11-03,京都,ダ,1800,2,11,15,109.8,112.15,54.5,37.6
ロードアヴニール,2024-11-03,京都,ダ,1800,3,9,15,109.8,112.15,54.5,37.1
ハピ,2024-11-03,京都,ダ,1800,4,7,15,110.0,112.35,53.5,37.1
ミッキーヌチバナ,2024-11-03,京都,ダ,1800,5,5,15,110.6,112.95,50.3,37.2
ダンテバローズ,2024-11-03,京都,ダ,1800,6,12,15,110.8,113.15,49.2,38.5
デリカダ,2024-11-03,京都,ダ,1800,7,10,15,111.1,113.45,47.6,38.6
トウセツ,2024-11-03,京都,ダ,1800,8,14,15,111.4,113.75,46.0,37.8
リプレーザ,2024-11-03,京都,ダ,1800,9,15,15,111.9,114.25,43.4,38.3
オメガギネス,2024-11-03,京都,ダ,1800,10,1,15,111.9,114.25,43.4,39.1
ドゥラエレーデ,2024-11-03,京都,ダ,1800,11,2,15,111.9,114.25,43.4,39.2
ロコポルティ,2024-11-03,京都,ダ,1800,12,8,15,113.0,115.35,37.5,39.9
ゲンパチルシファー,2024-11-03,京都,ダ,1800,13,13,15,113.1,115.45,37.0,38.5
ミトノオー,2024-11-03,京都,ダ,1800,14,4,15,113.6,115.95,34.3,41.4
プロミストウォリア,2024-11-03,京都,ダ,1800,15,6,15,113.7,116.05,33.8,40.8
ビップジーニー,2024-11-03,京都,芝,1600,1,14,15,93.6,94.05,51.1,35.8
オーシャントライブ,2024-11-03,京都,芝,1600,2,6,15,93.7,94.15,50.4,34.4
アイキャンドウイッ,2024-11-03,京都,芝,1600,3,12,15,93.8,94.25,49.6,35.1
ショウナンラウール,2024-11-03,京都,芝,1600,4,9,15,93.8,94.25,49.6,35.4
コルレオニス,2024-11-03,京都,芝,1600,5,2,15,93.8,94.25,49.6,34.7
レディマリオン,2024-11-03,京都,芝,1600,6,4,15,93.8,94.25,49.6,35.3
ゴールドローズ,2024-11-03,京都,芝,1600,7,15,15,93.9,94.35,48.9,34.6
リゴレット,2024-11-03,京都,芝,1600,8,8,15,94.1,94.55,47.4,35.3
パシフィックハイ,2024-11-03,京都,芝,1600,9,1,15,94.1,94.55,47.4,35.5
エーデルサンライズ,2024-11-03,京都,芝,1600,10,7,15,94.2,94.65,46.7,35.0
ブルーアイドガール,2024-11-03,京都,芝,1600,11,3,15,94.2,94.65,46.7,35.3
テンクウハット,2024-11-03,京都,芝,1600,12,10,15,94.5,94.95,44.4,35.4
コネッシオーネ,2024-11-03,京都,芝,1600,13,5,15,94.6,95.05,43.7,36.3
ブロードグリン,2024-11-03,京都,芝,1600,14,11,15,95.1,95.55,40.0,36.8
バレル,2024-11-03,京都,芝,1600,15,13,15,96.9,97.35,26.6,39.2
ショウナンマクベス,2024-11-03,東京,芝,2000,1,4,8,123.0,123.40,24.8,33.7
ホウオウガイア,2024-11-03,東京,芝,2000,2,3,8,123.2,123.60,23.5,33.6
エンジェルマーク,2024-11-03,東京,芝,2000,3,1,8,123.4,123.80,22.1,33.5
ファイアトリック,2024-11-03,東京,芝,2000,4,7,8,123.4,123.80,22.1,34.3
コンフォルツァ,2024-11-03,東京,芝,2000,5,2,8,123.4,123.80,22.1,33.8
パートオブワールド,2024-11-03,東京,芝,2000,6,5,8,124.0,124.40,18.0,34.5
ニシノタンギー,2024-11-03,東京,芝,2000,7,6,8,124.1,124.50,17.3,35.3
ドーサンドーサン,2024-11-03,東京,芝,2000,8,8,8,124.1,124.50,17.3,34.2
ウェイワードアクト,2024-11-03,東京,ダ,1600,1,2,11,96.4,96.40,56.0,34.3
ジョディーズマロン,2024-11-03,東京,ダ,1600,2,4,11,96.5,96.50,55.4,33.8
タガノエスコート,2024-11-03,東京,ダ,1600,3,3,11,96.7,96.70,54.0,35.2
サルヴァトーレ,2024-11-03,東京,ダ,1600,4,1,11,96.8,96.80,53.3,34.8
モナルヒ,2024-11-03,東京,ダ,1600,5,11,11,97.0,97.00,52.0,35.1
フェブランシェ,2024-11-03,東京,ダ,1600,6,6,11,97.1,97.10,51.3,35.4
リバートゥルー,2024-11-03,東京,ダ,1600,7,7,11,97.1,97.10,51.3,34.9
ジョージテソーロ,2024-11-03,東京,ダ,1600,8,5,11,97.2,97.20,50.7,35.6
プラーヴィ,2024-11-03,東京,ダ,1600,9,8,11,97.4,97.40,49.3,35.5
ダイバリオン,2024-11-03,東京,ダ,1600,10,9,11,97.7,97.70,47.3,35.3
テイエムランウェイ,2024-11-03,東京,ダ,1600,11,10,11,98.0,98.00,45.3,36.1
ハヤヤッコ,2024-11-03,東京,芝,2500,1,10,16,149.0,149.40,61.2,34.6
クロミナンス,2024-11-03,東京,芝,2500,2,1,16,149.1,149.50,60.5,35.3
タイセイフェリーク,2024-11-03,東京,芝,2500,3,6,16,149.1,149.50,60.5,35.1
アドマイヤハレー,2024-11-03,東京,芝,2500,4,12,16,149.2,149.60,59.8,35.0
マイネルメモリー,2024-11-03,東京,芝,2500,5,8,16,149.4,149.80,58.4,35.4
セレシオン,2024-11-03,東京,芝,2500,6,3,16,149.6,150.00,57.0,36.1
メイショウブレゲ,2024-11-03,東京,芝,2500,7,9,16,149.7,150.10,56.3,35.6
サヴォーナ,2024-11-03,東京,芝,2500,8,2,16,149.7,150.10,56.3,36.3
マイネルウィルトス,2024-11-03,東京,芝,2500,9,5,16,150.0,150.40,54.2,36.6
フォワードアゲン,2024-11-03,東京,芝,2500,10,16,16,150.4,150.80,51.4,36.1
ラーグルフ,2024-11-03,東京,芝,2500,11,11,16,150.9,151.30,47.9,37.6
ペプチドソレイユ,2024-11-03,東京,芝,2500,12,15,16,151.9,152.30,40.9,38.7
ジャンカズマ,2024-11-03,東京,芝,2500,13,14,16,152.3,152.70,38.1,39.4
ショウナンバシット,2024-11-03,東京,芝,2500,14,4,16,152.7,153.10,35.2,39.6
アドマイヤビルゴ,2024-11-03,東京,芝,2500,15,13,16,152.7,153.10,35.2,39.7
ミクソロジー,2024-11-03,東京,芝,2500,16,7,16,152.8,153.20,34.5,38.9
ハクサンバード,2024-11-03,東京,芝,1400,1,6,13,81.0,81.40,50.0,34.3
ルージュスエルテ,2024-11-03,東京,芝,1400,2,2,13,81.1,81.50,49.1,33.1
スティールブルー,2024-11-03,東京,芝,1400,3,1,13,81.1,81.50,49.1,33.5
ウインアイオライト,2024-11-03,東京,芝,1400,4,7,13,81.3,81.70,47.2,33.9
ニコラウス,2024-11-03,東京,芝,1400,5,3,13,81.4,81.80,46.2,33.6
ハリケーンリッジ,2024-11-03,東京,芝,1400,6,5,13,81.4,81.80,46.2,33.0
フリートオブフット,2024-11-03,東京,芝,1400,7,13,13,81.5,81.90,45.3,33.8
ルルローズ,2024-11-03,東京,芝,1400,8,12,13,81.6,82.00,44.3,34.1
テラステラ,2024-11-03,東京,芝,1400,9,4,13,81.6,82.00,44.3,33.4
ボルタドマール,2024-11-03,東京,芝,1400,10,8,13,81.8,82.20,42.4,35.0
ベジェサ,2024-11-03,東京,芝,1400,11,9,13,82.0,82.40,40.5,33.4
スクルトゥーラ,2024-11-03,東京,芝,1400,12,11,13,82.1,82.50,39.6,33.9
ルージュイストリア,2024-11-03,東京,芝,1400,13,10,13,82.3,82.70,37.7,34.2
ミッキーツインクル,2024-11-03,福島,芝,1800,1,2,16,110.0,108.80,49.5,36.0
オルノア,2024-11-03,福島,芝,1800,2,3,16,110.1,108.90,48.9,36.5
エルフストラック,2024-11-03,福島,芝,1800,3,1,16,110.2,109.00,48.4,36.7
モアニ,2024-11-03,福島,芝,1800,4,12,16,110.2,109.00,48.4,35.6
スティックバイミー,2024-11-03,福島,芝,1800,5,8,16,110.4,109.20,47.3,36.8
メイショウノブカ,2024-11-03,福島,芝,1800,6,4,16,110.5,109.30,46.7,36.8
ハーエクセレンシー,2024-11-03,福島,芝,1800,7,7,16,110.6,109.40,46.2,36.7
ツッチーフェイス,2024-11-03,福島,芝,1800,8,14,16,110.7,109.50,45.7,36.8
メアヴィア,2024-11-03,福島,芝,1800,9,13,16,110.7,109.50,45.7,36.4
ナンヨーアゼリア,2024-11-03,福島,芝,1800,10,16,16,110.9,109.70,44.6,36.7
マルカオペラ,2024-11-03,福島,芝,1800,11,9,16,111.4,110.20,41.9,37.6
イリスレーン,2024-11-03,福島,芝,1800,12,10,16,111.5,110.30,41.3,39.0
オリーボーレン,2024-11-03,福島,芝,1800,13,5,16,111.7,110.50,40.2,38.0
キュベリン,2024-11-03,福島,芝,1800,14,11,16,112.2,111.00,37.5,39.2
エイトスターズ,2024-11-03,福島,芝,1800,15,6,16,112.4,111.20,36.4,38.4
ニシノトレンディー,2024-11-03,福島,芝,1800,16,15,16,113.9,112.70,28.3,39.9
クロースコンバット,2024-11-03,福島,ダ,1700,1,3,15,103.2,105.85,54.6,37.5
タガノアレハンドラ,2024-11-03,福島,ダ,1700,2,7,15,104.4,107.05,48.1,37.9
コスモコラッジョ,2024-11-03,福島,ダ,1700,3,9,15,104.4,107.05,48.1,37.8
ブーバー,2024-11-03,福島,ダ,1700,4,5,15,104.5,107.15,47.6,38.9
タマモヴェナトル,2024-11-03,福島,ダ,1700,5,1,15,104.6,107.25,47.0,37.7
スプレーフォール,2024-11-03,福島,ダ,1700,6,6,15,104.6,107.25,47.0,38.3
ヒルズカーン,2024-11-03,福島,ダ,1700,7,8,15,104.9,107.55,45.4,37.6
ユイノマチブセ,2024-11-03,福島,ダ,1700,8,4,15,105.0,107.65,44.9,39.3
ウィズザドリーム,2024-11-03,福島,ダ,1700,9,2,15,105.1,107.75,44.3,38.9
メジャークオリティ,2024-11-03,福島,ダ,1700,10,12,15,105.5,108.15,42.2,39.5
サヴァビアン,2024-11-03,福島,ダ,1700,11,14,15,105.5,108.15,42.2,38.4
トリグラフ,2024-11-03,福島,ダ,1700,12,11,15,105.5,108.15,42.2,38.0
シャドウレディー,2024-11-03,福島,ダ,1700,13,10,15,105.8,108.45,40.6,38.8
タシロ,2024-11-03,福島,ダ,1700,14,13,15,107.0,109.65,34.1,39.3
リュクスウォリアー,2024-11-03,福島,ダ,1700,15,15,15,107.6,110.25,30.9,41.2
エターナルタイム,2024-11-03,福島,芝,1200,1,2,16,70.7,69.50,50.8,35.4
ウインモナーク,2024-11-03,福島,芝,1200,2,3,16,70.8,69.60,50.0,35.3
レッドヒルシューズ,2024-11-03,福島,芝,1200,3,5,16,70.9,69.70,49.2,35.5
ペアポルックス,2024-11-03,福島,芝,1200,4,1,16,71.0,69.80,48.4,34.8
サブライムアンセム,2024-11-03,福島,芝,1200,5,4,16,71.1,69.90,47.6,35.3
バンデルオーラ,2024-11-03,福島,芝,1200,6,12,16,71.1,69.90,47.6,35.5
ファロロジー,2024-11-03,福島,芝,1200,7,14,16,71.2,70.00,46.7,35.7
スノーテーラー,2024-11-03,福島,芝,1200,8,10,16,71.2,70.00,46.7,36.0
サトノアイ,2024-11-03,福島,芝,1200,9,15,16,71.3,70.10,45.9,35.1
メイクアスナッチ,2024-11-03,福島,芝,1200,10,13,16,71.3,70.10,45.9,35.8
クリノマジン,2024-11-03,福島,芝,1200,11,9,16,71.3,70.10,45.9,35.3
ロンドンプラン,2024-11-03,福島,芝,1200,12,11,16,71.4,70.20,45.1,35.8
キタウイング,2024-11-03,福島,芝,1200,13,8,16,71.6,70.40,43.5,35.6
デュガ,2024-11-03,福島,芝,1200,14,7,16,71.7,70.50,42.7,35.6
マイネルジェロディ,2024-11-03,福島,芝,1200,15,6,16,71.8,70.60,41.9,35.9
ラビュリントス,2024-11-03,福島,芝,1200,16,16,16,73.1,71.90,31.3,37.6
アメリカンマーチ,2024-11-03,福島,ダ,1150,1,1,10,67.4,70.05,42.6,35.5
アイファーベア,2024-11-03,福島,ダ,1150,2,9,10,67.9,70.55,38.3,35.9
パレフォーコン,2024-11-03,福島,ダ,1150,3,6,10,68.1,70.75,36.6,35.8
ゴールデンシーカー,2024-11-03,福島,ダ,1150,4,7,10,68.1,70.75,36.6,35.8
ゲキザル,2024-11-03,福島,ダ,1150,5,2,10,68.5,71.15,33.1,35.9
モネ,2024-11-03,福島,ダ,1150,6,3,10,68.9,71.55,29.6,36.8
シンデレラスマイル,2024-11-03,福島,ダ,1150,7,8,10,69.1,71.75,27.9,36.7
ジェイエルバルカー,2024-11-03,福島,ダ,1150,8,10,10,69.1,71.75,27.9,36.9
スターチスブーケ,2024-11-03,福島,ダ,1150,9,5,10,69.3,71.95,26.1,36.9
スナイチゴールド,2024-11-03,福島,ダ,1150,10,4,10,69.7,72.35,22.7,37.4
ショウナンアデイブ,2024-11-09,京都,芝,2000,1,6,14,117.8,117.30,64.9,35.2
シェイクユアハート,2024-11-09,京都,芝,2000,2,3,14,117.9,117.40,64.4,35.1
ロワンディシー,2024-11-09,京都,芝,2000,3,14,14,118.0,117.50,64.0,35.0
ワイドアラジン,2024-11-09,京都,芝,2000,4,10,14,118.1,117.60,63.5,35.5
ルシフェル,2024-11-09,京都,芝,2000,5,1,14,118.2,117.70,63.0,35.8
ミスタージーティー,2024-11-09,京都,芝,2000,6,2,14,118.2,117.70,63.0,34.5
ソリダリティ,2024-11-09,京都,芝,2000,7,11,14,118.2,117.70,63.0,35.2
カネフラ,2024-11-09,京都,芝,2000,8,9,14,118.3,117.80,62.6,34.8
ニューノーマル,2024-11-09,京都,芝,2000,9,12,14,118.3,117.80,62.6,35.1
シホノスペランツァ,2024-11-09,京都,芝,2000,10,8,14,118.4,117.90,62.1,35.2
バールデュヴァン,2024-11-09,京都,芝,2000,11,4,14,118.5,118.00,61.6,35.7
シャイニングフジ,2024-11-09,京都,芝,2000,12,13,14,118.6,118.10,61.2,35.1
フレーヴァード,2024-11-09,京都,芝,2000,13,7,14,118.6,118.10,61.2,35.8
ショーモン,2024-11-09,京都,芝,2000,14,5,14,119.2,118.70,58.4,37.2
イスラアネーロ,2024-11-09,京都,ダ,1200,1,12,16,70.7,70.70,61.5,36.1
クロジシジョー,2024-11-09,京都,ダ,1200,2,4,16,70.8,70.80,60.7,35.9
ドンアミティエ,2024-11-09,京都,ダ,1200,3,8,16,70.8,70.80,60.7,36.4
スズカコテキタイ,2024-11-09,京都,ダ,1200,4,9,16,70.9,70.90,60.0,34.8
エティエンヌ,2024-11-09,京都,ダ,1200,5,7,16,70.9,70.90,60.0,35.4
ヒビキ,2024-11-09,京都,ダ,1200,6,5,16,71.0,71.00,59.2,36.4
ナムラフランク,2024-11-09,京都,ダ,1200,7,14,16,71.2,71.20,57.7,36.8
コパノニコルソン,2024-11-09,京都,ダ,1200,8,10,16,71.2,71.20,57.7,35.7
ペースセッティング,2024-11-09,京都,ダ,1200,9,3,16,71.3,71.30,56.9,36.4
エスカル,2024-11-09,京都,ダ,1200,10,1,16,71.4,71.40,56.1,37.2
コパノパサディナ,2024-11-09,京都,ダ,1200,11,11,16,71.5,71.50,55.4,36.2
メイショウカズサ,2024-11-09,京都,ダ,1200,12,16,16,71.8,71.80,53.1,36.6
ゼットレヨン,2024-11-09,京都,ダ,1200,13,15,16,71.9,71.90,52.3,36.6
ワールズコライド,2024-11-09,京都,ダ,1200,14,6,16,72.3,72.30,49.2,37.8
ステラフィオーレ,2024-11-09,京都,ダ,1200,15,2,16,73.3,73.30,41.6,39.2
カルロヴェローチェ,2024-11-09,京都,ダ,1200,16,13,16,74.1,74.10,35.4,39.8
ランフォーヴァウ,2024-11-09,京都,芝,1600,1,1,7,94.7,94.20,50.0,33.7
ドラゴンブースト,2024-11-09,京都,芝,1600,2,3,7,94.8,94.30,49.3,34.0
ダイシンラー,2024-11-09,京都,芝,1600,3,2,7,95.1,94.60,47.0,34.0
エイヨーアメジスト,2024-11-09,京都,芝,1600,4,6,7,95.4,94.90,44.8,34.8
サウンドバッハ,2024-11-09,京都,芝,1600,5,7,7,95.7,95.20,42.6,34.4
ロヴィーサ,2024-11-09,京都,芝,1600,6,4,7,95.8,95.30,41.8,34.9
ローレルオーブ,2024-11-09,京都,芝,1600,7,5,7,95.8,95.30,41.8,34.7
キングサーガ,2024-11-09,京都,芝,2400,1,2,6,146.9,146.40,45.9,34.4
ダンツエスプリ,2024-11-09,京都,芝,2400,2,5,6,146.9,146.40,45.9,34.0
リッチブラック,2024-11-09,京都,芝,2400,3,1,6,147.3,146.80,43.6,34.6
フォーチュンコード,2024-11-09,京都,芝,2400,4,4,6,147.4,146.90,43.0,34.6
ショウナンハウル,2024-11-09,京都,芝,2400,5,3,6,147.6,147.10,41.9,35.1
パープルクラウド,2024-11-09,京都,芝,2400,6,6,6,149.4,148.90,31.4,36.6
プロミストジーン,2024-11-09,東京,ダ,1400,1,5,16,85.1,85.65,44.3,35.3
ポールセン,2024-11-09,東京,ダ,1400,2,2,16,85.3,85.85,42.7,36.3
ユウトザユウト,2024-11-09,東京,ダ,1400,3,3,16,85.4,85.95,42.0,36.2
サノノワンダー,2024-11-09,東京,ダ,1400,4,6,16,86.3,86.85,35.1,36.0
フィドルファドル,2024-11-09,東京,ダ,1400,5,10,16,86.5,87.05,33.5,36.4
シャドウキャッスル,2024-11-09,東京,ダ,1400,6,7,16,86.8,87.35,31.2,37.4
スリーピース,2024-11-09,東京,ダ,1400,7,9,16,87.1,87.65,28.9,36.8
ルークススペイ,2024-11-09,東京,ダ,1400,8,4,16,87.1,87.65,28.9,37.4
ハリーケーン,2024-11-09,東京,ダ,1400,9,12,16,87.2,87.75,28.2,38.3
オカメノコイ,2024-11-09,東京,ダ,1400,10,14,16,87.2,87.75,28.2,37.4
ドントゥザムーン,2024-11-09,東京,ダ,1400,11,11,16,87.2,87.75,28.2,37.6
ベンヌ,2024-11-09,東京,ダ,1400,12,1,16,87.9,88.45,22.8,37.5
ニシノリンダ,2024-11-09,東京,ダ,1400,13,15,16,88.1,88.65,21.3,38.5
ケイツーギルダー,2024-11-09,東京,ダ,1400,14,13,16,88.2,88.75,20.5,38.8
コウユーモジョカー,2024-11-09,東京,ダ,1400,15,16,16,88.3,88.85,19.7,38.0
ルイステソーロ,2024-11-09,東京,ダ,1400,16,8,16,88.9,89.45,15.1,39.6
セントメモリーズ,2024-11-09,東京,芝,1400,1,3,14,81.6,80.90,54.7,33.7
オメガウインク,2024-11-09,東京,芝,1400,2,4,14,81.6,80.90,54.7,33.6
ベガリス,2024-11-09,東京,芝,1400,3,9,14,81.6,80.90,54.7,34.4
リサリサ,2024-11-09,東京,芝,1400,4,7,14,81.6,80.90,54.7,33.3
ヤマニンデンファレ,2024-11-09,東京,芝,1400,5,11,14,81.7,81.00,53.8,33.4
キャプテンシー,2024-11-09,東京,芝,1400,6,8,14,81.8,81.10,52.8,33.3
ガロンヌ,2024-11-09,東京,芝,1400,7,5,14,81.8,81.10,52.8,33.4
ショウナンラスボス,2024-11-09,東京,芝,1400,8,12,14,81.8,81.10,52.8,34.5
サトミノキラリ,2024-11-09,東京,芝,1400,9,2,14,81.8,81.10,52.8,33.7
アバンチュリエ,2024-11-09,東京,芝,1400,10,10,14,81.9,81.20,51.9,33.2
レッドシュヴェルト,2024-11-09,東京,芝,1400,11,1,14,82.1,81.40,50.0,33.6
コスモエスパーダ,2024-11-09,東京,芝,1400,12,13,14,82.2,81.50,49.1,34.6
ヴィルヘルム,2024-11-09,東京,芝,1400,13,14,14,82.3,81.60,48.1,33.3
プリモカリーナ,2024-11-09,東京,芝,1400,14,6,14,82.3,81.60,48.1,34.3
エンペラーワケア,2024-11-09,東京,ダ,1600,1,1,15,96.0,96.55,55.0,36.5
カズペトシーン,2024-11-09,東京,ダ,1600,2,5,15,96.2,96.75,53.7,35.3
ペリエール,2024-11-09,東京,ダ,1600,3,4,15,96.2,96.75,53.7,36.1
ペイシャエス,2024-11-09,東京,ダ,1600,4,3,15,96.4,96.95,52.3,37.1
サンライズホーク,2024-11-09,東京,ダ,1600,5,8,15,96.5,97.05,51.7,37.0
エルゲルージ,2024-11-09,東京,ダ,1600,6,11,15,96.6,97.15,51.0,36.8
ショウナンライシン,2024-11-09,東京,ダ,1600,7,6,15,96.8,97.35,49.7,36.9
タマモロック,2024-11-09,東京,ダ,1600,8,2,15,96.8,97.35,49.7,37.2
ビヨンドザファザー,2024-11-09,東京,ダ,1600,9,7,15,96.9,97.45,49.0,36.1
キタノヴィジョン,2024-11-09,東京,ダ,1600,10,10,15,97.1,97.65,47.7,36.8
サヴァ,2024-11-09,東京,ダ,1600,11,13,15,97.1,97.65,47.7,36.3
ゼットリアン,2024-11-09,東京,ダ,1600,12,14,15,97.6,98.15,44.3,37.4
メイショウテンスイ,2024-11-09,東京,ダ,1600,13,12,15,98.7,99.25,36.9,39.7
イーグルノワール,2024-11-09,東京,ダ,1600,14,9,15,98.7,99.25,36.9,39.1
ドルチェモア,2024-11-09,東京,ダ,1600,15,15,15,106.1,106.65,-12.6,47.2
セフィロ,2024-11-09,東京,芝,1600,1,5,12,94.8,94.10,45.7,32.7
ホウオウシェリー,2024-11-09,東京,芝,1600,2,2,12,94.9,94.20,44.8,33.7
ダイシンヤマト,2024-11-09,東京,芝,1600,3,3,12,94.9,94.20,44.8,33.1
