年,レース名,馬番,枠番,馬名,着順,距離,馬場状態,上がり3F
2022,サンプルステークス,6,6,2022年出走馬6,4,2000,稍重,34.4
2022,サンプルステークス,4,4,2022年出走馬4,5,2000,良,33.3
2022,サンプルステークス,7,7,2022年出走馬7,6,2000,良,35.2
2022,サンプルステークス,3,3,2022年出走馬3,7,2000,良,34.4
2022,サンプルステークス,8,8,2022年出走馬8,8,2000,良,34.5
2023,サンプルステークス,1,1,2023年出走馬1,1,2000,良,35.1
2023,サンプルステークス,1,1,テスト太郎,1,2000,良,33.9
2023,サンプルステークス,3,3,2023年出走馬3,2,2000,良,34.6
2023,サンプルステークス,7,7,2023年出走馬7,3,2000,良,34.1
2023,サンプルステークス,2,2,2023年出走馬2,4,2000,良,34.6
2023,サンプルステークス,4,4,2023年出走馬4,5,2000,重,34.0
2023,サンプルステークス,6,6,2023年出走馬6,6,2000,良,34.8
2023,サンプルステークス,5,5,2023年出走馬5,7,2000,良,35.4
2023,サンプルステークス,8,8,2023年出走馬8,8,2000,稍重,35.2
2024,サンプルステークス,1,1,2024年出走馬1,1,2000,良,34.3
2024,サンプルステークス,5,5,2024年出走馬5,2,2000,良,35.9
2024,サンプルステークス,4,4,2024年出走馬4,3,2000,良,33.2
2024,サンプルステークス,3,3,サブロー,3,2000,良,33.2
2024,サンプルステークス,2,2,2024年出走馬2,4,2000,良,33.7
2024,サンプルステークス,3,3,2024年出走馬3,5,2000,良,34.0
2024,サンプルステークス,6,6,2024年出走馬6,6,2000,稍重,34.9
2024,サンプルステークス,7,7,2024年出走馬7,7,2000,重,35.5
2024,サンプルステークス,8,8,2024年出走馬8,8,2000,稍重,35.7
2025,サンプルステークス,1,1,2025年出走馬1,1,2000,稍重,35.4
2025,サンプルステークス,4,4,2025年出走馬4,2,2000,良,33.3
2025,サンプルステークス,8,8,ハチロー,2,2000,良,33.0
2025,サンプルステークス,2,2,2025年出走馬2,3,2000,稍重,34.4
2025,サンプルステークス,5,5,2025年出走馬5,4,2000,良,35.2
2025,サンプルステークス,7,7,2025年出走馬7,5,2000,良,36.0
2025,サンプルステークス,3,3,2025年出走馬3,6,2000,良,33.5
2025,サンプルステークス,6,6,2025年出走馬6,7,2000,稍重,35.4
2025,サンプルステークス,8,8,2025年出走馬8,8,2000,良,34.8
